id,name,type,generated_on,generated_by,status,download_url
rep_001,Monthly Executive Summary,Project Health,2025-01-13,Tara Basu,Success,https://storage.thingslista.com/reports/rep_001.pdf
rep_002,Monthly Executive Summary,Leads & Sales,2025-03-28,Purab Bansal,Pending,https://storage.thingslista.com/reports/rep_002.pdf
rep_003,Quarterly Executive Summary,Leads & Sales,2025-08-02,Dhanush Kota,Success,https://storage.thingslista.com/reports/rep_003.pdf
rep_004,Weekly Performance Report,Executive Summary,2025-03-31,Vritika Shere,Success,https://storage.thingslista.com/reports/rep_004.pdf
rep_005,Weekly Insights,Executive Summary,2025-03-05,Mannat Dutt,Failed,https://storage.thingslista.com/reports/rep_005.pdf
rep_006,Weekly Insights,Project Health,2025-02-02,Vivaan Varghese,Success,https://storage.thingslista.com/reports/rep_006.pdf
rep_007,Weekly Insights,Employee Productivity,2025-06-29,Tara Basu,Failed,https://storage.thingslista.com/reports/rep_007.pdf
rep_008,Monthly Performance Report,Executive Summary,2025-07-19,Dishani Dyal,Pending,https://storage.thingslista.com/reports/rep_008.pdf
rep_009,Monthly Performance Report,Executive Summary,2025-03-21,Kiara Srinivasan,Success,https://storage.thingslista.com/reports/rep_009.pdf
rep_010,Quarterly Executive Summary,Project Health,2025-01-20,Kiara Srinivasan,Success,https://storage.thingslista.com/reports/rep_010.pdf
rep_011,Weekly Insights,Executive Summary,2025-06-28,Purab Bansal,Success,https://storage.thingslista.com/reports/rep_011.pdf
rep_012,Weekly Performance Report,Executive Summary,2025-07-23,Kiara Srinivasan,Failed,https://storage.thingslista.com/reports/rep_012.pdf
rep_013,Quarterly Performance Report,Employee Productivity,2025-06-19,Amani Sagar,Success,https://storage.thingslista.com/reports/rep_013.pdf
rep_014,Weekly Executive Summary,Executive Summary,2025-08-06,Oorja Choudhry,Failed,https://storage.thingslista.com/reports/rep_014.pdf
rep_015,Monthly Executive Summary,Leads & Sales,2025-06-12,Indrajit Kannan,Failed,https://storage.thingslista.com/reports/rep_015.pdf
